Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_32,m_3,c_10,c_5,s,0.8736,0.38806865
model_68,m_2,m_2,c_1,m_2,0.7074,0.8798696
model_117,c_3,m_3,m_3,c_2,0.8396,0.6496077
model_147,c_8,m_3,m_3,c_4,0.789,1.0458306
model_180,m_3,c_11,c_5,c_5,0.8703,0.39369377
model_185,c_10,m_2,m_3,m_3,0.8768,0.5102803
model_207,c_1,m_3,m_2,c_5,0.8707,0.52082753
model_209,m_3,c_10,c_5,s,0.8445,0.49697664
model_265,m_3,c_4,c_10,c_10,0.8711,0.38675448
model_345,c_11,m_3,m_3,c_9,0.7632,1.0506766
model_437,m_3,m_2,c_8,c_8,0.2822,1.9728407
model_460,m_3,c_2,c_3,c_6,0.8705,0.3969118
model_545,m_3,c_4,c_4,s,0.8449,0.49457178
model_557,m_3,m_3,c_6,m_1,0.1135,2.301058
model_563,m_2,m_3,c_10,c_4,0.282,1.9378843
model_564,m_3,c_10,c_11,c_11,0.8738,0.3811411
model_614,m_3,c_10,c_7,c_7,0.871,0.39012048
model_619,m_3,c_8,c_11,c_4,0.8693,0.3907461
model_637,m_2,m_2,c_9,s,0.7089,0.8761867
model_691,m_3,s,-,-,0.7908,0.7308557
model_698,m_1,m_2,c_4,c_5,0.7667,0.7565649
model_716,m_3,c_4,c_9,s,0.8461,0.48838153
model_728,m_1,m_1,c_9,m_2,0.8289,0.5391051
model_747,m_1,s,-,-,0.8985,0.39769065
model_787,c_4,m_2,m_3,m_1,0.8736,0.5207336
model_801,m_2,s,-,-,0.8894,0.41746303
model_835,m_3,c_9,c_2,c_1,0.8718,0.39400837
model_862,m_3,m_2,c_4,c_6,0.281,1.9414014
model_901,m_3,c_9,c_2,c_6,0.8702,0.40125385
model_907,m_3,c_6,c_3,c_7,0.8702,0.39475486
model_922,c_2,m_3,m_3,c_3,0.7482,1.0633981
model_940,m_1,m_1,c_2,c_1,0.8316,0.5309403
model_1001,c_10,m_3,m_2,c_10,0.8779,0.5080096
model_1069,c_4,m_3,m_2,m_3,0.8699,0.5232055
model_1079,m_3,s,-,-,0.7882,0.7370571
model_1100,c_9,m_3,m_3,c_6,0.8478,0.63048846
model_1106,m_3,c_11,c_5,c_1,0.8744,0.38244393
model_1124,m_3,c_9,c_2,c_1,0.8667,0.40302026
model_1137,m_3,c_12,c_4,c_12,0.8666,0.40063405
model_1165,m_3,c_12,c_3,c_4,0.8697,0.40194154
model_1264,m_1,m_2,m_2,s,0.7077,0.99968606
model_1269,m_1,s,-,-,0.8964,0.4006543
model_1350,c_5,m_3,m_3,c_8,0.761,1.0470812
model_1416,m_3,c_4,c_8,c_12,0.8676,0.3927016
model_1453,m_3,c_2,c_5,s,0.842,0.49806103
model_1492,m_3,c_9,c_11,s,0.8721,0.39366898
model_1542,m_3,c_2,c_8,m_2,0.8708,0.3929348
model_1583,c_10,m_3,m_3,s,0.6107,1.5085288
model_1593,m_2,m_2,c_4,c_6,0.7124,0.87268424
model_1659,m_2,s,-,-,0.8887,0.41835153
model_1689,c_10,m_3,m_3,c_1,0.6515,1.5367497
model_1706,m_3,c_9,m_2,c_7,0.815,0.62066036
model_1748,c_9,m_3,m_3,s,0.8447,0.6635382
model_1764,m_3,c_3,s,-,0.8416,0.50169194
model_1767,m_3,m_1,c_1,c_9,0.5553,1.3141706
model_1802,m_3,c_12,c_1,c_5,0.8688,0.39301583
model_1858,m_2,m_1,c_1,m_1,0.7913,0.66195375
model_1869,m_3,c_10,c_8,c_4,0.871,0.3839299
model_1880,m_3,c_7,c_8,m_2,0.8717,0.38322222
model_1897,m_1,s,-,-,0.8953,0.40298048
model_1920,m_3,m_3,c_5,m_2,0.1135,2.3010676
model_1934,c_4,m_2,m_3,c_6,0.8739,0.50132835
model_1970,m_3,c_12,c_11,c_2,0.8686,0.39204627
model_1975,m_3,c_7,c_9,c_11,0.8729,0.38218647
model_1989,m_3,m_1,c_1,m_3,0.555,1.3086894
model_2025,m_3,c_12,c_12,s,0.872,0.39402032
model_2050,m_3,c_5,c_9,m_3,0.872,0.39110386
model_2070,c_7,m_2,m_3,c_4,0.8672,0.5431703
model_2081,m_3,c_9,c_4,m_3,0.8657,0.39586118
model_2100,m_3,c_12,m_3,m_2,0.7877,0.74120814
model_2144,m_3,c_9,m_3,m_1,0.7905,0.7005113
model_2149,m_3,c_5,c_12,s,0.8455,0.49493134
model_2174,c_7,m_2,m_3,c_1,0.8684,0.534016
model_2237,m_1,m_1,c_2,c_4,0.8334,0.52857095
model_2238,c_7,m_3,m_3,m_2,0.6121,1.5446007
model_2241,c_4,m_3,m_2,c_8,0.861,0.5435748
model_2250,c_4,m_3,m_3,c_9,0.5983,1.5098037
model_2266,m_3,c_1,c_1,c_12,0.8272,0.545806
model_2271,m_3,m_1,m_2,c_7,0.1135,2.30107
model_2272,m_2,m_1,c_2,c_10,0.7416,0.84277
model_2287,m_3,c_9,m_1,m_1,0.7563,0.837233
model_2290,m_3,c_11,c_3,c_5,0.8379,0.521351
model_2294,m_3,m_3,c_7,c_10,0.1135,2.30104
model_2300,m_2,m_2,c_5,c_9,0.663,1.03979
model_2302,m_3,c_9,c_8,c_9,0.8345,0.528562
model_2308,m_2,m_1,c_5,c_5,0.7482,0.830127
model_2310,m_1,m_1,c_11,s,0.8002,0.670263
model_2316,m_3,c_7,m_3,m_2,0.56,1.99616
