Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1201,c_9,c_4,m_1,c_5,0.9726,0.092134014
model_1202,c_3,c_11,c_5,c_8,0.9808,0.061105534
model_1203,c_10,m_3,c_7,c_3,0.9572,0.14823015
model_1204,m_2,c_1,c_11,c_12,0.9517,0.15461893
model_1205,c_6,m_2,c_2,s,0.969,0.10444725
model_1206,c_12,m_3,c_6,c_8,0.9742,0.083636194
model_1207,c_9,c_2,c_3,m_3,0.9779,0.06624469
model_1208,c_11,c_12,c_3,c_9,0.9795,0.06397921
model_1209,c_3,c_4,s,-,0.9763,0.07313987
model_1210,c_12,c_3,c_7,c_12,0.9786,0.06504623
model_1211,c_9,c_11,c_12,c_9,0.9784,0.068309955
model_1212,c_12,c_11,m_2,c_4,0.9746,0.08210918
model_1213,c_8,c_12,c_12,c_1,0.978,0.06519604
model_1214,c_2,c_12,c_2,c_3,0.9795,0.06416525
model_1215,c_11,c_3,c_11,m_3,0.9788,0.062023405
model_1216,c_9,c_5,c_9,c_12,0.9806,0.06043183
model_1217,c_3,c_5,c_7,m_3,0.9782,0.065281615
model_1218,c_6,c_3,c_5,c_4,0.9792,0.06061587
model_1219,c_1,c_5,s,-,0.9765,0.07368619
model_1220,c_2,c_4,c_9,c_8,0.9797,0.063690834
model_1221,c_11,c_5,s,-,0.9772,0.07158298
model_1222,c_2,c_7,m_1,c_5,0.9725,0.0884506
model_1223,c_6,m_1,c_9,c_2,0.9702,0.09975486
model_1224,c_2,c_1,c_10,c_1,0.9807,0.05875539
model_1225,c_5,c_6,c_12,c_8,0.9813,0.059912156
model_1226,c_2,c_1,c_6,c_11,0.981,0.059737373
model_1227,c_11,c_10,c_9,c_8,0.9804,0.059243493
model_1228,c_5,c_3,c_9,c_8,0.981,0.06140659
model_1229,c_6,m_3,c_5,c_3,0.9748,0.08855066
model_1230,c_2,c_9,m_1,c_11,0.9742,0.083324656
model_1231,c_2,c_5,s,-,0.9766,0.07001902
model_1232,c_6,m_2,c_7,c_12,0.9683,0.10396056
model_1233,c_4,c_4,c_1,c_11,0.9812,0.057363346
model_1234,c_11,c_3,s,-,0.9773,0.0714851
model_1235,c_12,m_1,s,-,0.9535,0.16790813
model_1236,c_8,m_3,c_3,c_1,0.9691,0.10149726
model_1237,m_2,c_3,c_10,c_10,0.9507,0.16715409
model_1238,c_12,c_4,c_4,c_9,0.981,0.060787562
model_1239,c_11,s,-,-,0.9608,0.1349148
model_1240,c_2,c_10,c_6,c_5,0.98,0.062439274
model_1241,c_6,c_5,c_6,m_2,0.9797,0.06303693
model_1242,c_9,c_7,c_9,c_10,0.9808,0.061905663
model_1243,c_4,c_6,c_1,s,0.9803,0.06103466
model_1244,c_2,c_1,c_12,c_5,0.977,0.06692433
model_1245,c_5,c_3,c_9,c_3,0.9809,0.05933385
model_1246,c_4,m_3,c_11,c_2,0.9631,0.1279183
model_1247,c_1,c_8,m_3,c_10,0.9798,0.06695761
model_1248,c_5,c_2,s,-,0.9765,0.07408596
model_1249,c_7,c_11,c_7,c_2,0.9802,0.06056547
model_1250,c_6,c_5,m_1,c_5,0.9724,0.088333905
model_1251,c_2,c_12,c_8,c_3,0.9819,0.059198108
model_1252,c_2,c_9,c_3,c_1,0.9805,0.062088236
model_1253,c_5,c_1,c_5,m_1,0.9789,0.063713565
model_1254,c_5,c_12,m_3,c_7,0.9822,0.057157487
model_1255,c_1,c_11,c_1,m_2,0.9803,0.060886238
model_1256,c_7,c_6,c_11,m_3,0.981,0.05883294
model_1257,c_1,c_4,c_9,c_3,0.98,0.060571544
model_1258,c_7,c_2,c_11,c_1,0.982,0.059272125
model_1259,c_3,c_10,s,-,0.9757,0.079076394
model_1260,c_4,c_7,c_1,c_11,0.9798,0.061901104
model_1261,c_6,c_1,m_2,c_8,0.9716,0.09358602
model_1262,c_5,c_3,m_1,c_4,0.9722,0.087475844
model_1263,c_2,c_1,c_3,m_2,0.9804,0.061595798
model_1264,m_1,m_2,m_2,-,0.7077,0.99968606
model_1265,c_10,c_1,m_2,c_2,0.9704,0.09924541
model_1266,c_1,c_12,s,-,0.9765,0.07140053
model_1267,c_4,c_1,c_4,c_9,0.981,0.060862795
model_1268,c_9,c_11,c_8,c_6,0.9797,0.060787182
model_1269,m_1,s,-,-,0.8964,0.4006543
model_1270,c_5,m_1,m_1,c_7,0.9412,0.20761774
model_1271,c_11,c_11,m_1,m_1,0.9726,0.08756582
model_1272,c_1,c_1,m_2,c_6,0.9689,0.09906411
model_1273,c_6,c_8,c_10,c_7,0.9801,0.06256485
model_1274,c_11,c_10,m_3,c_9,0.9756,0.0835916
model_1275,c_9,c_9,c_1,-,0.9772,0.07091956
model_1276,c_4,c_3,m_3,m_2,0.9811,0.06059153
model_1277,c_3,m_1,c_4,m_1,0.9678,0.10876768
model_1278,c_10,c_7,c_5,m_2,0.9819,0.060275
model_1279,c_3,m_2,c_8,m_3,0.9709,0.09861464
model_1280,c_3,c_12,c_3,c_9,0.9802,0.06422772
model_1281,c_6,s,-,-,0.9631,0.12906559
model_1282,c_1,c_2,m_1,c_1,0.9728,0.088583834
model_1283,c_1,c_1,c_6,m_2,0.9813,0.05878201
model_1284,c_3,c_12,c_4,c_12,0.9811,0.06053091
model_1285,c_11,c_10,c_4,c_9,0.9796,0.06289665
model_1286,c_8,c_4,c_4,c_7,0.9806,0.057865717
model_1287,c_1,c_10,c_7,c_2,0.9808,0.05901033
model_1288,c_4,s,-,-,0.9584,0.14299645
model_1289,c_8,c_10,c_1,s,0.9807,0.059578985
model_1290,c_3,c_2,c_4,m_3,0.9768,0.070272446
model_1291,c_3,c_6,m_1,c_1,0.9739,0.08517454
model_1292,c_4,c_2,m_3,c_3,0.9798,0.0665236
model_1293,c_10,c_9,m_1,s,0.9731,0.086109124
model_1294,c_6,m_1,c_10,m_3,0.9678,0.10644325
model_1295,c_10,c_6,c_6,m_2,0.9813,0.058361053
model_1296,c_2,m_1,c_5,s,0.9673,0.10956623
model_1297,c_9,c_12,c_9,c_4,0.9785,0.06449874
model_1298,c_8,c_2,c_3,c_2,0.9807,0.060480304
model_1299,c_5,m_1,c_2,c_10,0.9687,0.10541355
model_1300,c_6,m_2,m_2,c_1,0.9689,0.11339692
model_1301,c_7,c_4,c_6,m_3,0.9799,0.06453217
model_1302,c_1,c_9,c_8,c_3,0.9806,0.05785024
model_1303,c_10,c_11,c_10,c_11,0.9811,0.058721952
model_1304,c_12,m_3,c_11,s,0.9753,0.08634671
model_1305,c_9,c_2,c_8,m_2,0.9798,0.059511825
model_1306,c_3,c_8,c_3,m_1,0.9808,0.06129452
model_1307,c_11,c_1,s,-,0.9761,0.0747213
model_1308,c_7,c_7,c_7,c_7,0.9805,0.060294207
model_1309,c_7,c_10,m_3,c_1,0.975,0.089663014
model_1310,c_9,m_2,c_8,m_3,0.9713,0.09342761
model_1311,c_8,s,-,-,0.9613,0.13357337
model_1312,c_6,c_3,c_11,c_10,0.9804,0.059924137
model_1313,c_5,c_3,c_5,c_6,0.9791,0.06796301
model_1314,c_4,c_9,m_2,c_1,0.9794,0.06677952
model_1315,c_6,c_4,s,-,0.9768,0.072690554
model_1316,c_6,c_12,c_2,c_9,0.9789,0.06327285
model_1317,c_6,m_2,m_2,c_9,0.9674,0.11858539
model_1318,c_4,c_9,m_3,c_5,0.9809,0.062013682
model_1319,c_9,c_7,c_9,c_11,0.9804,0.06071868
model_1320,c_6,c_7,c_10,c_5,0.9797,0.06314159
model_1321,c_4,c_3,c_12,c_5,0.9802,0.06030842
model_1322,c_8,m_1,s,-,0.9492,0.17625956
model_1323,c_9,m_3,c_5,c_2,0.9742,0.086971045
model_1324,c_4,c_12,m_3,c_5,0.9827,0.05931401
model_1325,c_2,m_2,c_6,c_6,0.9679,0.10591524
model_1326,c_12,c_6,c_3,c_3,0.9791,0.06335271
model_1327,c_9,c_7,c_3,c_7,0.9796,0.062085755
model_1328,c_10,c_7,m_3,c_10,0.9733,0.09482656
model_1329,c_9,c_2,c_7,c_7,0.9807,0.058427617
model_1330,c_1,s,-,-,0.9589,0.14358625
model_1331,c_7,m_2,m_2,c_2,0.9382,0.22824362
model_1332,c_6,c_6,c_11,c_10,0.978,0.066029705
model_1333,c_5,c_1,c_11,m_1,0.9802,0.060365256
model_1334,c_2,c_8,c_6,c_9,0.9808,0.06172377
model_1335,c_12,m_3,c_1,c_8,0.9738,0.09117553
model_1336,c_3,c_1,m_2,c_6,0.9718,0.09177592
model_1337,c_10,c_5,c_7,c_1,0.9796,0.0611444
model_1338,c_7,c_1,m_2,c_4,0.9711,0.097369425
model_1339,c_5,c_8,c_11,c_5,0.9802,0.0600163
model_1340,c_6,c_9,c_1,m_2,0.9777,0.06622721
model_1341,c_11,c_8,c_1,c_10,0.9795,0.062770806
model_1342,c_2,m_1,c_1,c_11,0.9677,0.11135716
model_1343,c_4,c_2,c_8,m_3,0.9805,0.059892684
model_1344,c_10,m_2,c_4,s,0.9627,0.12089192
model_1345,c_11,c_6,c_6,s,0.981,0.057207547
model_1346,c_8,c_6,c_2,m_3,0.98,0.06261263
model_1347,c_1,m_2,c_12,c_8,0.9653,0.115229316
model_1348,c_2,c_2,c_11,c_2,0.9809,0.060292568
model_1349,m_1,c_12,m_2,m_1,0.9481,0.17785974
model_1350,c_5,m_3,m_3,c_8,0.761,1.0470812
model_1351,c_3,c_1,c_11,m_2,0.9802,0.059613522
model_1352,c_2,c_2,c_1,c_8,0.9791,0.06254026
model_1353,c_6,c_9,c_5,c_2,0.9785,0.064930126
model_1354,c_10,c_10,c_11,c_7,0.9821,0.059177693
model_1355,c_10,c_12,c_2,c_7,0.9802,0.06040761
model_1356,c_11,c_12,c_1,m_1,0.9784,0.07044036
model_1357,c_7,c_2,c_5,c_7,0.9821,0.061232354
model_1358,c_10,c_1,m_2,m_3,0.9705,0.09863876
model_1359,c_3,c_2,m_3,c_10,0.9804,0.06280044
model_1360,c_12,c_7,c_5,c_8,0.9808,0.0620334
model_1361,c_8,m_2,c_5,c_12,0.9656,0.110699445
model_1362,c_6,c_12,c_3,c_3,0.9789,0.06300106
model_1363,c_4,c_4,c_3,c_11,0.9792,0.061372533
model_1364,c_2,c_10,c_1,c_1,0.9798,0.06027128
model_1365,c_8,c_12,m_3,m_3,0.9818,0.059633665
model_1366,c_6,c_12,c_7,c_12,0.9791,0.06346655
model_1367,c_3,c_4,c_6,c_11,0.9794,0.06046522
model_1368,c_10,c_9,m_2,c_10,0.9785,0.069607385
model_1369,c_12,c_5,m_3,c_5,0.9805,0.06620644
model_1370,c_11,m_1,c_2,c_12,0.9673,0.10926691
model_1371,c_6,c_8,c_7,m_1,0.981,0.060105577
model_1372,c_7,c_7,c_3,c_9,0.9806,0.059598748
model_1373,c_3,c_10,c_5,c_11,0.9793,0.06262065
model_1374,c_6,c_3,c_3,c_7,0.9812,0.059899528
model_1375,c_4,c_11,m_2,c_12,0.9764,0.07697218
model_1376,c_1,m_3,c_6,c_3,0.9575,0.14048027
model_1377,c_7,c_2,c_8,c_5,0.9814,0.059349597
model_1378,c_7,c_1,c_1,c_3,0.9815,0.05931692
model_1379,c_6,c_11,c_12,c_5,0.979,0.0628348
model_1380,c_7,m_3,c_5,c_3,0.955,0.15732838
model_1381,c_2,c_9,c_6,m_3,0.9794,0.06478834
